Brand,Model,Year of Manufacture,Engine Capacity (cc),Mileage (km/l),Price (INR),Resale Price (INR),Seller Type,City Tier,Fuel Type,Insurance Status,State,Avg Daily Distance (km),Bike Age,Depreciation Rate (%)
Hero,Splendor,2006,107,75.6,47818,34127,Dealer,Tier 1,Diesel,Not Insured,Maharashtra,23,19,28.63
Suzuki,Access,2023,306,68.6,103574,67031,Dealer,Tier 3,Petrol,Insured,Delhi,33,2,35.28
Bajaj,CT 100,2010,212,59.4,82614,52834,Dealer,Tier 2,Electric,Not Insured,Delhi,52,15,36.05
Bajaj,CT 100,2022,290,73.5,88106,76684,Individual,Tier 2,Diesel,Not Insured,Uttar Pradesh,28,3,12.96
Bajaj,Avenger,2019,173,77.7,60372,43521,Dealer,Tier 3,Petrol,Insured,Uttar Pradesh,25,6,27.91
Suzuki,Burgman,2016,163,59.1,129224,59789,Dealer,Tier 3,Diesel,Insured,Maharashtra,18,9,53.73
Suzuki,Access,2013,228,35.2,88788,54879,Individual,Tier 2,Electric,Insured,Maharashtra,27,12,38.19
Yamaha,R15,2006,273,62.8,108989,72069,Individual,Tier 1,Electric,Not Insured,Uttar Pradesh,14,19,33.87
Bajaj,Avenger,2008,253,48.2,90244,51206,Individual,Tier 3,Petrol,Insured,Uttar Pradesh,20,17,43.26
Honda,Unicorn,2019,187,65.3,41948,21726,Individual,Tier 2,Petrol,Not Insured,Gujarat,37,6,48.21
Yamaha,R15,2022,178,37.7,142586,110621,Individual,Tier 2,Diesel,Not Insured,Tamil Nadu,14,3,22.42
Bajaj,Pulsar,2015,264,68.3,83810,52570,Dealer,Tier 3,Diesel,Not Insured,Tamil Nadu,26,10,37.27
Bajaj,Pulsar,2021,152,50.8,61579,57384,Individual,Tier 3,Electric,Insured,Karnataka,29,4,6.81
Suzuki,Access,2005,135,47.0,141244,76657,Individual,Tier 1,Diesel,Not Insured,Karnataka,50,20,45.73
Yamaha,SZ,2012,200,39.2,35183,25142,Individual,Tier 3,Diesel,Not Insured,Tamil Nadu,34,13,28.54
Honda,Livo,2020,240,62.7,30052,23758,Individual,Tier 1,Petrol,Not Insured,Uttar Pradesh,44,5,20.94
Yamaha,SZ,2018,347,66.6,76826,59947,Individual,Tier 2,Petrol,Not Insured,Karnataka,53,7,21.97
Suzuki,Access,2006,108,35.4,62118,21810,Dealer,Tier 2,Diesel,Insured,Gujarat,50,19,64.89
Yamaha,R15,2023,263,31.3,95728,78312,Dealer,Tier 1,Electric,Not Insured,Tamil Nadu,57,2,18.19
Yamaha,R15,2016,282,59.4,98300,77525,Individual,Tier 2,Petrol,Not Insured,Gujarat,15,9,21.13
Yamaha,SZ,2008,269,39.6,66046,20224,Dealer,Tier 3,Diesel,Insured,Delhi,48,17,69.38
Suzuki,Access,2009,184,48.9,30717,25775,Dealer,Tier 2,Diesel,Insured,Uttar Pradesh,56,16,16.09
Honda,Livo,2023,165,65.9,33859,27528,Individual,Tier 3,Petrol,Insured,Uttar Pradesh,17,2,18.7
Hero,HF Deluxe,2016,177,30.3,79256,30576,Individual,Tier 2,Diesel,Insured,Gujarat,49,9,61.42
Bajaj,Pulsar,2017,244,52.1,105994,37836,Individual,Tier 3,Electric,Insured,Gujarat,59,8,64.3
Honda,Unicorn,2007,150,60.2,136881,21387,Individual,Tier 3,Electric,Insured,Maharashtra,34,18,84.38
Honda,Livo,2006,222,36.4,133767,77102,Dealer,Tier 3,Diesel,Not Insured,Delhi,48,19,42.36
Suzuki,Gixxer,2009,128,56.2,148578,147260,Individual,Tier 2,Electric,Insured,Karnataka,50,16,0.89
Suzuki,Gixxer,2011,248,75.2,104833,61475,Dealer,Tier 2,Petrol,Not Insured,Karnataka,15,14,41.36
Suzuki,Gixxer,2016,329,33.2,90966,72488,Individual,Tier 3,Diesel,Insured,Maharashtra,32,9,20.31
Hero,Passion,2021,283,34.9,135688,84843,Dealer,Tier 1,Petrol,Insured,Delhi,14,4,37.47
Hero,Splendor,2020,263,65.3,36412,21262,Individual,Tier 2,Petrol,Not Insured,Tamil Nadu,26,5,41.61
Hero,Splendor,2018,210,38.8,99949,59352,Dealer,Tier 3,Petrol,Insured,Gujarat,55,7,40.62
Hero,Passion,2020,185,71.1,127710,121179,Dealer,Tier 2,Petrol,Not Insured,Maharashtra,19,5,5.11
Honda,Shine,2021,152,57.1,52383,21646,Dealer,Tier 3,Petrol,Insured,Uttar Pradesh,31,4,58.68
Hero,HF Deluxe,2009,298,59.4,138039,133745,Individual,Tier 2,Diesel,Not Insured,Uttar Pradesh,39,16,3.11
Bajaj,Pulsar,2008,145,48.4,83843,33754,Dealer,Tier 2,Petrol,Insured,Gujarat,26,17,59.74
Suzuki,Gixxer,2020,120,35.3,56678,25667,Dealer,Tier 2,Diesel,Insured,Karnataka,38,5,54.71
Suzuki,Access,2007,92,30.1,73189,31516,Dealer,Tier 3,Petrol,Insured,Rajasthan,22,18,56.94
Hero,Splendor,2015,82,52.3,141584,130976,Dealer,Tier 1,Petrol,Not Insured,Karnataka,57,10,7.49
Hero,Splendor,2020,299,38.0,113544,50034,Dealer,Tier 2,Petrol,Insured,Uttar Pradesh,54,5,55.93
Honda,Unicorn,2023,348,59.0,88421,33616,Dealer,Tier 1,Petrol,Insured,Rajasthan,44,2,61.98
Bajaj,Pulsar,2016,209,75.1,113182,84234,Dealer,Tier 2,Diesel,Insured,Uttar Pradesh,43,9,25.58
Bajaj,CT 100,2022,116,52.2,67533,46488,Individual,Tier 3,Electric,Insured,Uttar Pradesh,56,3,31.16
Hero,Passion,2009,285,48.0,87636,65517,Individual,Tier 3,Diesel,Insured,Delhi,40,16,25.24
Hero,HF Deluxe,2011,129,69.3,82191,60206,Individual,Tier 1,Diesel,Insured,Tamil Nadu,29,14,26.75
Hero,Passion,2018,160,47.5,60233,47051,Dealer,Tier 3,Diesel,Not Insured,Karnataka,22,7,21.89
Honda,Shine,2014,193,73.7,110794,102918,Dealer,Tier 1,Petrol,Insured,Tamil Nadu,17,11,7.11
Hero,Splendor,2014,151,32.5,124653,54680,Individual,Tier 2,Diesel,Not Insured,Gujarat,20,11,56.13
Honda,Shine,2021,294,52.9,55366,25332,Individual,Tier 1,Electric,Insured,Delhi,59,4,54.25
Hero,Passion,2007,158,78.8,31593,28803,Dealer,Tier 1,Diesel,Not Insured,Uttar Pradesh,36,18,8.83
Hero,Splendor,2023,258,65.4,32029,22228,Individual,Tier 2,Electric,Not Insured,Tamil Nadu,38,2,30.6
Hero,Passion,2022,84,68.3,42618,31731,Individual,Tier 2,Petrol,Not Insured,Delhi,39,3,25.55
Bajaj,Pulsar,2015,293,41.6,125734,43310,Dealer,Tier 1,Diesel,Not Insured,Delhi,22,10,65.55
Honda,Shine,2006,291,30.5,133701,56622,Dealer,Tier 1,Electric,Insured,Gujarat,60,19,57.65
Yamaha,R15,2022,114,78.0,127316,32864,Dealer,Tier 1,Petrol,Insured,Rajasthan,45,3,74.19
Yamaha,R15,2010,194,63.8,113121,31350,Individual,Tier 2,Electric,Insured,Gujarat,19,15,72.29
Yamaha,R15,2006,245,32.0,147004,94768,Individual,Tier 3,Diesel,Insured,Karnataka,41,19,35.53
Yamaha,FZ,2006,194,30.0,85575,50222,Individual,Tier 2,Electric,Insured,Tamil Nadu,52,19,41.31
Honda,Livo,2018,265,36.6,39722,20636,Individual,Tier 1,Electric,Not Insured,Delhi,48,7,48.05
Honda,Livo,2022,225,39.9,33097,28769,Individual,Tier 2,Petrol,Insured,Maharashtra,46,3,13.08
Suzuki,Gixxer,2017,270,60.9,36090,23850,Individual,Tier 1,Diesel,Not Insured,Karnataka,35,8,33.92
Suzuki,Gixxer,2017,151,38.3,101579,81035,Individual,Tier 3,Electric,Insured,Karnataka,27,8,20.22
Suzuki,Gixxer,2021,341,50.0,96233,30242,Dealer,Tier 1,Electric,Insured,Maharashtra,11,4,68.57
Bajaj,Avenger,2014,299,58.8,64296,56698,Individual,Tier 1,Diesel,Not Insured,Karnataka,22,11,11.82
Suzuki,Gixxer,2005,104,58.7,79862,37873,Individual,Tier 2,Petrol,Insured,Rajasthan,10,20,52.58
Bajaj,CT 100,2020,236,70.6,138300,66566,Dealer,Tier 1,Petrol,Not Insured,Rajasthan,35,5,51.87
Honda,Shine,2016,230,35.7,37502,36565,Dealer,Tier 3,Petrol,Insured,Delhi,21,9,2.5
Yamaha,SZ,2009,84,43.0,75490,23127,Dealer,Tier 3,Diesel,Insured,Rajasthan,30,16,69.36
Yamaha,FZ,2020,207,51.6,115552,30154,Individual,Tier 3,Diesel,Insured,Uttar Pradesh,24,5,73.9
Hero,HF Deluxe,2015,345,38.5,148129,93395,Dealer,Tier 1,Diesel,Not Insured,Rajasthan,37,10,36.95
Suzuki,Access,2018,341,30.1,147458,66434,Individual,Tier 3,Electric,Not Insured,Delhi,38,7,54.95
Hero,Splendor,2010,284,40.8,123593,119196,Dealer,Tier 3,Diesel,Insured,Delhi,47,15,3.56
Yamaha,SZ,2010,277,76.5,142532,123724,Individual,Tier 1,Diesel,Not Insured,Karnataka,43,15,13.2
Honda,Livo,2021,149,66.9,38235,32060,Individual,Tier 1,Electric,Not Insured,Maharashtra,51,4,16.15
Hero,Splendor,2006,114,60.7,148734,133431,Individual,Tier 3,Electric,Not Insured,Uttar Pradesh,58,19,10.29
Yamaha,R15,2018,115,73.8,91169,57099,Individual,Tier 2,Petrol,Insured,Tamil Nadu,26,7,37.37
Yamaha,FZ,2020,239,59.5,137744,51263,Dealer,Tier 2,Electric,Insured,Tamil Nadu,28,5,62.78
Suzuki,Gixxer,2013,258,54.5,116619,99536,Individual,Tier 1,Petrol,Insured,Tamil Nadu,39,12,14.65
Honda,Shine,2007,246,35.2,80089,77553,Dealer,Tier 3,Petrol,Insured,Gujarat,21,18,3.17
Honda,Shine,2021,258,70.9,125576,74485,Individual,Tier 1,Petrol,Not Insured,Uttar Pradesh,15,4,40.69
Suzuki,Gixxer,2012,237,59.9,124837,121421,Individual,Tier 2,Electric,Not Insured,Uttar Pradesh,42,13,2.74
Yamaha,R15,2017,330,32.3,50466,49187,Dealer,Tier 1,Petrol,Insured,Maharashtra,56,8,2.53
Yamaha,SZ,2022,214,41.7,78542,26345,Individual,Tier 2,Petrol,Not Insured,Maharashtra,47,3,66.46
Hero,Passion,2014,341,34.5,34563,32941,Individual,Tier 2,Petrol,Insured,Karnataka,57,11,4.69
Honda,Livo,2019,226,76.6,104597,72140,Individual,Tier 2,Electric,Insured,Rajasthan,40,6,31.03
Honda,Unicorn,2017,279,74.3,51699,40517,Dealer,Tier 2,Electric,Insured,Rajasthan,48,8,21.63
Yamaha,SZ,2015,89,49.5,33236,24882,Individual,Tier 3,Petrol,Not Insured,Tamil Nadu,37,10,25.14
Bajaj,CT 100,2010,284,52.6,85117,43949,Individual,Tier 1,Petrol,Insured,Rajasthan,10,15,48.37
Suzuki,Burgman,2022,293,60.8,62677,42154,Individual,Tier 3,Diesel,Not Insured,Rajasthan,48,3,32.74
Hero,Passion,2006,111,41.9,89865,79670,Individual,Tier 1,Electric,Insured,Rajasthan,10,19,11.34
Honda,Shine,2008,118,44.3,110046,99249,Dealer,Tier 1,Petrol,Insured,Tamil Nadu,32,17,9.81
Yamaha,R15,2015,329,70.1,31812,23032,Individual,Tier 3,Diesel,Insured,Rajasthan,14,10,27.6
Hero,Passion,2011,117,75.5,75597,59409,Dealer,Tier 1,Petrol,Insured,Karnataka,48,14,21.41
Honda,Unicorn,2007,215,75.3,85748,53468,Dealer,Tier 3,Diesel,Insured,Uttar Pradesh,53,18,37.65
Suzuki,Burgman,2005,97,72.7,107865,44646,Dealer,Tier 1,Electric,Insured,Tamil Nadu,58,20,58.61
Honda,Unicorn,2015,123,40.1,91217,28983,Individual,Tier 3,Diesel,Not Insured,Rajasthan,25,10,68.23
Yamaha,FZ,2010,337,79.0,51927,51292,Dealer,Tier 1,Diesel,Not Insured,Tamil Nadu,33,15,1.22
Hero,HF Deluxe,2007,87,65.0,108244,47064,Dealer,Tier 3,Diesel,Insured,Karnataka,21,18,56.52
Suzuki,Gixxer,2010,232,40.8,47749,20338,Individual,Tier 1,Diesel,Insured,Uttar Pradesh,21,15,57.41
Honda,Livo,2008,304,42.4,115489,104321,Individual,Tier 2,Electric,Not Insured,Karnataka,51,17,9.67
Yamaha,SZ,2011,164,54.9,111183,102679,Individual,Tier 2,Electric,Not Insured,Maharashtra,26,14,7.65
Yamaha,R15,2022,272,72.6,63550,23689,Dealer,Tier 1,Electric,Insured,Uttar Pradesh,59,3,62.72
Bajaj,CT 100,2010,208,53.2,61604,28459,Individual,Tier 3,Diesel,Not Insured,Gujarat,18,15,53.8
Hero,Passion,2008,199,60.4,117838,65877,Individual,Tier 2,Electric,Insured,Uttar Pradesh,57,17,44.1
Hero,Splendor,2022,281,46.1,47172,23781,Dealer,Tier 3,Electric,Not Insured,Gujarat,52,3,49.59
Yamaha,SZ,2020,110,52.7,45928,45034,Individual,Tier 1,Diesel,Insured,Gujarat,47,5,1.95
Hero,HF Deluxe,2020,82,75.8,30346,22946,Individual,Tier 2,Electric,Not Insured,Delhi,55,5,24.39
Suzuki,Gixxer,2018,88,72.7,69610,60888,Individual,Tier 2,Electric,Not Insured,Gujarat,52,7,12.53
Bajaj,Pulsar,2015,237,78.9,91811,81147,Individual,Tier 3,Diesel,Insured,Tamil Nadu,17,10,11.62
Yamaha,R15,2006,193,48.8,111544,30437,Individual,Tier 1,Electric,Not Insured,Gujarat,26,19,72.71
Suzuki,Access,2022,219,61.0,109563,52805,Dealer,Tier 3,Diesel,Not Insured,Uttar Pradesh,57,3,51.8
Bajaj,Pulsar,2012,161,48.8,65954,36986,Individual,Tier 2,Petrol,Not Insured,Maharashtra,54,13,43.92
Hero,Passion,2012,99,34.3,107502,23327,Dealer,Tier 1,Petrol,Not Insured,Delhi,58,13,78.3
Honda,Shine,2012,174,64.6,112304,93749,Individual,Tier 1,Diesel,Insured,Uttar Pradesh,15,13,16.52
Yamaha,FZ,2005,287,57.6,137088,85371,Individual,Tier 1,Electric,Not Insured,Gujarat,50,20,37.73
Bajaj,Avenger,2022,183,58.8,90132,90066,Individual,Tier 1,Electric,Not Insured,Uttar Pradesh,36,3,0.07
Bajaj,Avenger,2015,342,61.7,90528,28766,Dealer,Tier 1,Electric,Not Insured,Maharashtra,21,10,68.22
Honda,Unicorn,2019,285,65.7,66208,49537,Dealer,Tier 2,Petrol,Insured,Delhi,13,6,25.18
Suzuki,Access,2022,221,61.6,133446,67005,Dealer,Tier 2,Electric,Insured,Uttar Pradesh,22,3,49.79
Suzuki,Burgman,2007,341,76.1,94064,73001,Dealer,Tier 2,Diesel,Not Insured,Tamil Nadu,11,18,22.39
Bajaj,CT 100,2015,259,63.0,35258,26614,Dealer,Tier 2,Diesel,Not Insured,Karnataka,41,10,24.52
Yamaha,SZ,2010,332,66.0,98939,50877,Individual,Tier 1,Electric,Not Insured,Delhi,48,15,48.58
Suzuki,Gixxer,2007,184,50.7,47286,34375,Dealer,Tier 2,Electric,Not Insured,Karnataka,47,18,27.3
Hero,Splendor,2016,346,53.5,69820,63487,Individual,Tier 2,Electric,Insured,Tamil Nadu,23,9,9.07
Suzuki,Burgman,2008,290,48.9,92433,77762,Individual,Tier 2,Electric,Insured,Gujarat,21,17,15.87
Honda,Livo,2010,133,79.6,131425,102518,Individual,Tier 1,Diesel,Not Insured,Rajasthan,11,15,22.0
Yamaha,R15,2009,251,58.3,132422,67416,Individual,Tier 2,Diesel,Insured,Rajasthan,27,16,49.09
Yamaha,SZ,2008,200,32.0,47805,20406,Individual,Tier 1,Petrol,Not Insured,Rajasthan,42,17,57.31
Honda,Shine,2015,248,70.7,134435,38065,Dealer,Tier 2,Petrol,Insured,Tamil Nadu,32,10,71.69
Yamaha,R15,2016,168,58.5,70702,44755,Individual,Tier 1,Diesel,Not Insured,Uttar Pradesh,14,9,36.7
Suzuki,Burgman,2015,131,66.5,105062,33482,Individual,Tier 1,Petrol,Insured,Uttar Pradesh,26,10,68.13
Bajaj,Pulsar,2009,308,77.5,138533,69969,Individual,Tier 1,Petrol,Not Insured,Karnataka,44,16,49.49
Bajaj,Pulsar,2005,216,71.9,38006,33126,Dealer,Tier 1,Diesel,Insured,Gujarat,23,20,12.84
Yamaha,R15,2006,114,52.0,83842,33018,Dealer,Tier 1,Petrol,Insured,Rajasthan,52,19,60.62
Suzuki,Burgman,2005,185,54.5,83219,53138,Individual,Tier 2,Diesel,Not Insured,Gujarat,18,20,36.15
Honda,Unicorn,2006,333,49.3,43978,23122,Dealer,Tier 2,Diesel,Not Insured,Uttar Pradesh,48,19,47.42
Yamaha,R15,2023,304,39.8,102431,35806,Individual,Tier 3,Petrol,Not Insured,Maharashtra,24,2,65.04
Bajaj,Avenger,2023,342,78.3,82815,55882,Individual,Tier 2,Petrol,Not Insured,Delhi,50,2,32.52
Hero,Splendor,2012,333,52.3,140082,122276,Dealer,Tier 3,Petrol,Insured,Uttar Pradesh,13,13,12.71
Honda,Livo,2017,294,76.5,91913,67625,Dealer,Tier 2,Diesel,Insured,Maharashtra,59,8,26.42
Hero,HF Deluxe,2014,152,42.0,45291,29104,Dealer,Tier 3,Electric,Not Insured,Uttar Pradesh,22,11,35.74
Suzuki,Burgman,2020,218,72.0,69644,22073,Individual,Tier 1,Diesel,Insured,Karnataka,24,5,68.31
Honda,Unicorn,2021,337,60.6,53852,52222,Dealer,Tier 3,Petrol,Not Insured,Tamil Nadu,23,4,3.03
Suzuki,Gixxer,2023,84,57.8,34739,26374,Dealer,Tier 3,Electric,Not Insured,Uttar Pradesh,10,2,24.08
Bajaj,Avenger,2008,195,48.8,48515,42847,Individual,Tier 1,Petrol,Not Insured,Karnataka,15,17,11.68
Honda,Livo,2021,232,35.6,144469,123849,Individual,Tier 3,Diesel,Insured,Uttar Pradesh,35,4,14.27
Suzuki,Access,2016,92,75.0,96396,66774,Dealer,Tier 3,Electric,Insured,Tamil Nadu,31,9,30.73
Suzuki,Burgman,2016,310,64.5,144308,134441,Dealer,Tier 2,Diesel,Insured,Delhi,49,9,6.84
Suzuki,Burgman,2005,168,72.0,128533,97845,Dealer,Tier 3,Diesel,Not Insured,Gujarat,11,20,23.88
Honda,Unicorn,2017,128,73.4,100393,44146,Dealer,Tier 2,Electric,Insured,Karnataka,34,8,56.03
Honda,Shine,2010,143,56.0,60896,45662,Dealer,Tier 3,Diesel,Not Insured,Uttar Pradesh,45,15,25.02
Honda,Livo,2010,84,72.1,34423,31623,Dealer,Tier 2,Petrol,Insured,Karnataka,49,15,8.13
Honda,Unicorn,2007,166,40.6,126714,50251,Dealer,Tier 2,Diesel,Not Insured,Maharashtra,43,18,60.34
Suzuki,Access,2008,136,76.1,138802,55767,Dealer,Tier 3,Electric,Not Insured,Maharashtra,38,17,59.82
Suzuki,Burgman,2010,103,53.1,65629,35855,Individual,Tier 3,Diesel,Insured,Tamil Nadu,19,15,45.37
Bajaj,Pulsar,2020,205,76.8,85028,24334,Dealer,Tier 1,Diesel,Not Insured,Maharashtra,49,5,71.38
Hero,HF Deluxe,2012,178,75.0,126080,123856,Individual,Tier 2,Petrol,Not Insured,Tamil Nadu,58,13,1.76
Hero,HF Deluxe,2021,122,60.9,43864,32326,Dealer,Tier 1,Diesel,Not Insured,Delhi,20,4,26.3
Bajaj,Pulsar,2015,176,30.6,128610,71873,Dealer,Tier 2,Diesel,Insured,Karnataka,17,10,44.12
Hero,HF Deluxe,2016,157,68.3,32800,21545,Dealer,Tier 1,Electric,Not Insured,Uttar Pradesh,22,9,34.31
Hero,HF Deluxe,2008,333,66.1,109570,41161,Dealer,Tier 2,Petrol,Not Insured,Tamil Nadu,38,17,62.43
Suzuki,Access,2015,236,68.2,95265,92236,Dealer,Tier 2,Diesel,Insured,Gujarat,35,10,3.18
Suzuki,Burgman,2013,130,68.7,121124,94228,Dealer,Tier 3,Petrol,Insured,Karnataka,18,12,22.21
Bajaj,Avenger,2023,267,75.8,65519,39206,Individual,Tier 1,Electric,Not Insured,Gujarat,19,2,40.16
Hero,Passion,2011,148,47.6,114494,21982,Dealer,Tier 2,Petrol,Not Insured,Tamil Nadu,29,14,80.8
Honda,Unicorn,2022,295,56.0,127308,123082,Individual,Tier 3,Electric,Insured,Tamil Nadu,38,3,3.32
Honda,Shine,2010,101,35.2,76868,39106,Individual,Tier 3,Electric,Insured,Rajasthan,17,15,49.13
Yamaha,FZ,2022,183,56.7,100056,26227,Dealer,Tier 3,Petrol,Insured,Rajasthan,59,3,73.79
Bajaj,Pulsar,2012,130,41.9,57507,33047,Dealer,Tier 2,Electric,Insured,Delhi,32,13,42.53
Yamaha,FZ,2022,240,70.8,81683,59205,Dealer,Tier 3,Electric,Not Insured,Maharashtra,35,3,27.52
Honda,Livo,2007,150,63.0,108805,40528,Dealer,Tier 2,Diesel,Not Insured,Gujarat,10,18,62.75
Hero,Passion,2020,147,79.2,81999,23563,Individual,Tier 2,Petrol,Not Insured,Karnataka,22,5,71.26
Honda,Unicorn,2010,125,36.3,87462,49211,Individual,Tier 2,Petrol,Insured,Rajasthan,48,15,43.73
Bajaj,Pulsar,2005,309,71.0,93757,78800,Dealer,Tier 3,Diesel,Insured,Tamil Nadu,46,20,15.95
Bajaj,CT 100,2015,292,51.6,53075,27551,Dealer,Tier 2,Electric,Insured,Karnataka,37,10,48.09
Yamaha,FZ,2017,270,67.2,82332,44455,Dealer,Tier 3,Electric,Insured,Tamil Nadu,17,8,46.01
Suzuki,Gixxer,2006,243,74.9,140745,117909,Dealer,Tier 2,Diesel,Not Insured,Karnataka,46,19,16.23
Bajaj,CT 100,2005,173,77.7,122546,22477,Individual,Tier 3,Diesel,Insured,Delhi,56,20,81.66
Hero,Passion,2021,169,50.8,45121,44854,Dealer,Tier 2,Petrol,Not Insured,Tamil Nadu,50,4,0.59
Suzuki,Gixxer,2021,305,42.3,146046,65786,Individual,Tier 2,Petrol,Insured,Delhi,27,4,54.96
Hero,Splendor,2012,292,38.7,102766,84601,Dealer,Tier 1,Electric,Not Insured,Rajasthan,13,13,17.68
Honda,Shine,2007,346,78.5,35624,33236,Dealer,Tier 3,Diesel,Insured,Delhi,45,18,6.7
Suzuki,Access,2010,205,36.6,86225,39865,Dealer,Tier 1,Electric,Insured,Delhi,22,15,53.77
Honda,Livo,2016,153,62.0,145462,59943,Individual,Tier 1,Electric,Insured,Gujarat,38,9,58.79
Yamaha,FZ,2018,320,56.1,80402,79381,Dealer,Tier 2,Diesel,Insured,Gujarat,35,7,1.27
Yamaha,R15,2012,92,35.9,95112,23556,Individual,Tier 3,Diesel,Insured,Karnataka,30,13,75.23
Yamaha,R15,2017,267,70.1,130624,25591,Dealer,Tier 1,Electric,Insured,Maharashtra,45,8,80.41
Honda,Shine,2006,100,30.4,111215,76580,Individual,Tier 1,Petrol,Not Insured,Maharashtra,32,19,31.14
Hero,Passion,2010,231,71.9,79890,26203,Dealer,Tier 1,Diesel,Not Insured,Karnataka,58,15,67.2
Honda,Shine,2011,185,69.7,132183,21069,Dealer,Tier 3,Diesel,Insured,Rajasthan,16,14,84.06
Suzuki,Access,2013,173,33.7,93700,77622,Individual,Tier 1,Diesel,Insured,Gujarat,13,12,17.16
Hero,Passion,2018,219,33.1,138083,21268,Individual,Tier 2,Diesel,Not Insured,Gujarat,60,7,84.6
Suzuki,Burgman,2019,350,49.5,131669,47463,Individual,Tier 1,Diesel,Insured,Karnataka,43,6,63.95
Bajaj,Avenger,2010,138,30.0,117043,22542,Dealer,Tier 3,Electric,Not Insured,Rajasthan,26,15,80.74
Hero,Splendor,2013,335,48.3,121593,69580,Individual,Tier 1,Diesel,Insured,Uttar Pradesh,33,12,42.78
Bajaj,CT 100,2020,330,33.0,147591,139856,Dealer,Tier 2,Electric,Insured,Tamil Nadu,53,5,5.24
Bajaj,CT 100,2017,181,51.2,68803,58300,Dealer,Tier 1,Petrol,Not Insured,Gujarat,42,8,15.27
Yamaha,SZ,2010,268,40.2,86083,64925,Dealer,Tier 1,Petrol,Insured,Gujarat,59,15,24.58
Suzuki,Gixxer,2013,137,32.1,57691,20599,Dealer,Tier 1,Petrol,Insured,Tamil Nadu,48,12,64.29
Bajaj,Pulsar,2018,310,71.6,56810,32552,Dealer,Tier 1,Petrol,Insured,Delhi,36,7,42.7
Hero,Passion,2013,177,39.7,38347,37743,Individual,Tier 2,Petrol,Not Insured,Uttar Pradesh,14,12,1.58
Suzuki,Access,2008,261,37.7,120512,107686,Individual,Tier 2,Petrol,Insured,Gujarat,15,17,10.64
Yamaha,R15,2015,230,40.4,117928,74806,Individual,Tier 3,Electric,Insured,Gujarat,18,10,36.57
Suzuki,Gixxer,2018,286,44.7,31528,20565,Dealer,Tier 2,Electric,Insured,Karnataka,31,7,34.77
Yamaha,R15,2006,222,59.4,46006,40522,Dealer,Tier 3,Petrol,Not Insured,Rajasthan,34,19,11.92
Yamaha,SZ,2006,330,67.8,119728,49753,Individual,Tier 2,Diesel,Insured,Delhi,49,19,58.44
Hero,HF Deluxe,2020,233,52.9,86330,36984,Individual,Tier 3,Petrol,Insured,Delhi,16,5,57.16
Bajaj,Pulsar,2020,226,56.3,96944,39422,Dealer,Tier 1,Diesel,Not Insured,Delhi,57,5,59.34
Bajaj,Pulsar,2015,323,59.6,147332,38445,Individual,Tier 1,Electric,Not Insured,Rajasthan,42,10,73.91
Suzuki,Burgman,2007,191,62.8,109908,92006,Dealer,Tier 2,Petrol,Not Insured,Uttar Pradesh,35,18,16.29
Honda,Shine,2016,80,74.0,143797,94542,Dealer,Tier 2,Electric,Insured,Rajasthan,57,9,34.25
Yamaha,R15,2023,342,35.4,142288,117911,Individual,Tier 2,Diesel,Insured,Karnataka,23,2,17.13
Hero,Splendor,2019,161,67.6,74827,43097,Individual,Tier 1,Diesel,Insured,Karnataka,15,6,42.4
Hero,Passion,2021,333,45.6,116975,74922,Dealer,Tier 1,Electric,Not Insured,Rajasthan,34,4,35.95
Hero,Passion,2009,306,54.5,135046,29711,Dealer,Tier 2,Electric,Insured,Maharashtra,45,16,78.0
Honda,Livo,2017,332,67.4,78068,21590,Individual,Tier 1,Electric,Insured,Delhi,17,8,72.34
Honda,Shine,2010,163,52.6,59057,40352,Individual,Tier 3,Diesel,Not Insured,Maharashtra,11,15,31.67
Honda,Livo,2022,327,49.2,99779,42882,Dealer,Tier 3,Diesel,Insured,Karnataka,51,3,57.02
Yamaha,FZ,2021,135,47.0,141321,77896,Individual,Tier 1,Electric,Insured,Rajasthan,16,4,44.88
Suzuki,Access,2008,248,34.4,94202,90722,Individual,Tier 2,Diesel,Not Insured,Tamil Nadu,18,17,3.69
Yamaha,SZ,2014,329,31.4,67264,37050,Dealer,Tier 2,Petrol,Insured,Gujarat,31,11,44.92
Honda,Shine,2016,140,77.2,118121,106325,Dealer,Tier 3,Petrol,Not Insured,Uttar Pradesh,50,9,9.99
Suzuki,Access,2020,313,75.6,91783,32040,Individual,Tier 1,Diesel,Not Insured,Karnataka,54,5,65.09
Yamaha,FZ,2023,155,75.5,130776,34248,Individual,Tier 2,Petrol,Not Insured,Delhi,39,2,73.81
Hero,HF Deluxe,2022,107,59.3,73264,31871,Individual,Tier 3,Petrol,Not Insured,Tamil Nadu,44,3,56.5
Yamaha,R15,2015,320,52.3,116671,20580,Dealer,Tier 2,Petrol,Insured,Karnataka,30,10,82.36
Bajaj,Avenger,2011,140,64.8,98903,79092,Dealer,Tier 3,Diesel,Insured,Karnataka,42,14,20.03
Honda,Livo,2014,246,36.7,139309,83802,Individual,Tier 1,Electric,Not Insured,Maharashtra,58,11,39.84
Honda,Livo,2006,339,46.7,43838,21179,Dealer,Tier 2,Petrol,Not Insured,Rajasthan,56,19,51.69
